;# inf;% inf;# opt;% opt;# constraints;min const;max const;time method;time method solve time;time UC;% prop. time orig. UC;% prop. online time UC
CG;0;0;8640;100;5.21875;0;20;1.64700016;0.063449074;0.028997685;41.73981541;85.59205596
DD5;3939;45.59027778;4701;54.40972222;4.542012338;0;23;;0.000148374;0.021380557;45.77351387;42.93001292
DD5+CG;0;0;8640;100;6.664351852;0;23;0.657583205;0.02441713;0.030505787;44.11606772;74.09037087
DD*5;634;7.337962963;8006;92.66203704;7.23082688;0;26;;0.000151487;0.029536598;43.72950042;40.91137384
DD*5+CG;0;0;8640;100;7.451273148;0;26;0.069912588;0.003057906;0.0301875;43.72122713;44.847662
DD20;2740;31.71296296;5900;68.28703704;6.80779661;0;26;;0.000208096;0.025144068;45.64612053;42.93030461
DD20+CG;0;0;8640;100;8.304050926;0;26;0.355393168;0.015145778;0.031075231;44.73311671;62.35159852
DD*20;102;1.180555556;8538;98.81944444;9.364488171;0;29;;0.000210692;0.031055282;44.78391329;42.26081471
DD*20+CG;0;0;8640;100;9.397337963;0;29;0.011375035;0.000629718;0.031126157;44.79752369;42.83830266
DD100;1408;16.2962963;7232;83.7037037;10.17505531;0;28;;0.000510434;0.029565819;46.81928745;44.78124451
DD100+CG;0;0;8640;100;11.04849537;0;29;0.164077656;0.00827207;0.032219907;46.30800017;54.62320173
DD*100;25;0.289351852;8615;99.71064815;12.2952989;0;32;;0.000516518;0.032258851;46.39362531;44.26257284
DD*100+CG;0;0;8640;100;12.31053241;0;32;0.003353145;0.000644999;0.032280093;46.38294482;44.41556149
