;# inf;% inf;# opt;% opt;# constraints;min const;max const;CG counter;min CG counter;max CG counter;% CG iter = 0;time method;time method solve time;time UC;% prop. time orig. UC;% prop. online time UC
CG;0;0.0;8640;100.0;5.7950231481481485;0;22;5.7950231481481485;0;22;9.166666666666666;5.492032082958354;0.13964699074074075;0.027270833333333338;40.34046173496633;188.38215088683484
DD5;3939;45.59027777777778;4701;54.40972222222222;4.542012337800468;0;23;0.0;0;0;54.40972222222222;;0.0001483738454091651;0.021380557328228036;45.77351386634657;42.930012915066165
DD5+CG;0;0.0;8640;100.0;6.664351851851852;0;23;0.7814814814814814;0;7;54.40972222222222;0.6575832054322516;0.024417130477450512;0.030505787037037036;44.11606772498709;74.09037086640836
DD*5;634;7.337962962962963;8006;92.66203703703704;7.23082687984012;0;26;0.0;0;0;92.66203703703704;;0.00015148745792495152;0.029536597551836127;43.7295004236674;40.911373838261376
DD*5+CG;0;0.0;8640;100.0;7.4512731481481485;0;26;0.08321759259259259;0;4;92.66203703703704;0.06991258765892758;0.003057905741012943;0.0301875;43.72122713064267;44.84766200386456
DD10;3282;37.98611111111111;5358;62.01388888888889;5.602463605823068;0;23;0.0;0;0;62.01388888888889;;0.00014915678136099815;0.022133258678611423;43.95714001712373;40.43664082456638
DD10+CG;0;0.0;8640;100.0;7.387384259259259;0;25;0.5793981481481482;0;5;62.01388888888889;0.47141606606163633;0.01791439558517326;0.028928240740740747;42.377690066695244;63.190166415172506
DD*10;241;2.789351851851852;8399;97.21064814814815;8.28408143826646;0;28;0.0;0;0;97.21064814814815;;0.00014824092804489032;0.028730801285867368;42.422326913534064;39.22808182731417
DD*10+CG;0;0.0;8640;100.0;8.368865740740741;0;28;0.030787037037037036;0;4;97.21064814814815;0.023822568292603083;0.0011563140348887738;0.028922453703703704;42.3873547242065;40.5759045187108
DD20;2740;31.712962962962965;5900;68.28703703703704;6.807796610169492;0;26;0.0;0;0;68.28703703703704;;0.00020809615584416562;0.025144067796610173;45.64612052929904;42.9303046092304
DD20+CG;0;0.0;8640;100.0;8.304050925925926;0;26;0.43344907407407407;0;4;68.28703703703704;0.35539316844884994;0.015145777566013516;0.03107523148148149;44.73311670866239;62.35159851523181
DD*20;102;1.1805555555555556;8538;98.81944444444444;9.364488170531741;0;29;0.0;0;0;98.81944444444444;;0.0002106919953329198;0.03105528226750996;44.78391328711642;42.26081470643729
DD*20+CG;0;0.0;8640;100.0;9.397337962962963;0;29;0.012847222222222222;0;3;98.81944444444444;0.011375034918180768;0.0006297176908701656;0.031126157407407415;44.79752369158463;42.83830265568296
DD50;1995;23.09027777777778;6645;76.90972222222221;8.611136192626034;0;26;0.0;0;0;76.90972222222221;;0.00028247400262405414;0.026189616252821676;44.470247398815104;41.44743049113754
DD50+CG;0;0.0;8640;100.0;9.73599537037037;0;27;0.2896990740740741;0;4;76.90972222222221;0.23399016136878434;0.010535944125810524;0.029910879629629638;43.631929464923644;54.56229035208014
DD*50;47;0.5439814814814815;8593;99.45601851851852;10.917025485860584;0;30;0.0;0;0;99.45601851851852;;0.00028143835297113253;0.029565925753520312;43.2430725267659;40.30777931275827
DD*50+CG;0;0.0;8640;100.0;10.938773148148147;0;30;0.005902777777777778;0;2;99.45601851851852;0.004631022806106893;0.0004804972946919775;0.029598379629629638;43.242309317515;40.576051808977425
DD100;1408;16.296296296296298;7232;83.7037037037037;10.175055309734514;0;28;0.0;0;0;83.7037037037037;;0.0005104342942568404;0.029565818584070796;46.81928744575826;44.781244506313406
DD100+CG;0;0.0;8640;100.0;11.04849537037037;0;29;0.19791666666666666;0;4;83.7037037037037;0.164077656166628;0.008272069728139925;0.032219907407407405;46.308000173659224;54.62320173169012
DD*100;25;0.28935185185185186;8615;99.71064814814815;12.2952988972722;0;32;0.0;0;0;99.71064814814815;;0.0005165182433706759;0.03225885084155543;46.39362530982491;44.262572840895146
DD*100+CG;0;0.0;8640;100.0;12.310532407407408;0;32;0.0032407407407407406;0;2;99.71064814814815;0.0033531447140109022;0.000644998639707028;0.032280092592592596;46.38294481862879;44.41556149248512
