# gen;# bus;cost_quadratic (€/Mwh);cost_linear (€/Mwh);Pmin (MW);Pmax (MW);RampDO (MW);RampUP (MW)
1;1;0;29.3;8;20;100;90
2;1;0;29.29;8;20;100;90
3;1;0;19.25;40;76;120;120
4;1;0;19.26;40;76;120;120
5;2;0;29.28;8;20;100;90
6;2;0;29.27;8;20;100;90
7;2;0;19.24;40;76;120;120
8;2;0;19.23;40;76;120;120
9;7;0;18.28;40;100;420;420
10;7;0;18.29;40;100;420;420
11;8;0;18.27;40;100;420;420
12;13;0;17.71;104;197;310;310
13;13;0;17.72;104;197;310;310
14;13;0;17.73;104;197;310;310
15;15;0;30.14;5.4;12;70;60
16;15;0;30.15;5.4;12;70;60
17;15;0;30.16;5.4;12;70;60
18;15;0;30.17;5.4;12;70;60
19;15;0;30.16;5.4;12;70;60
20;15;0;24.52;54.24;155;80;70
21;16;0;24.53;54.24;155;80;70
22;18;0;7.23;100;400;280;280
23;21;0;7.24;100;400;280;280
24;22;0;29.36;26;50;120;120
25;22;0;29.37;26;50;120;120
26;22;0;29.35;26;50;120;120
27;22;0;29.38;26;50;120;120
28;22;0;29.34;26;50;120;120
29;22;0;29.36;26;50;120;120
30;23;0;24.51;54.24;155;80;70
31;23;0;24.54;54.24;155;80;70
32;23;0;26.71;140;350;140;140
33;25;0;29.4;8;20;100;90
34;25;0;29.39;8;20;100;90
35;25;0;19.35;40;76;120;120
36;25;0;19.36;40;76;120;120
37;26;0;29.38;8;20;100;90
38;26;0;29.37;8;20;100;90
39;26;0;19.34;40;76;120;120
40;26;0;19.33;40;76;120;120
41;31;0;18.38;40;100;420;420
42;32;0;18.39;40;100;420;420
43;32;0;18.37;40;100;420;420
44;37;0;17.81;104;197;310;310
45;37;0;17.82;104;197;310;310
46;37;0;17.83;104;197;310;310
47;39;0;30.24;5.4;12;70;60
48;39;0;30.25;5.4;12;70;60
49;39;0;30.26;5.4;12;70;60
50;39;0;30.27;5.4;12;70;60
51;39;0;30.26;5.4;12;70;60
52;39;0;24.62;54.24;155;80;70
53;40;0;24.63;54.24;155;80;70
54;42;0;7.33;100;400;280;280
55;45;0;7.34;100;400;280;280
56;46;0;29.46;26;50;120;120
57;46;0;29.47;26;50;120;120
58;46;0;29.45;26;50;120;120
59;46;0;29.48;26;50;120;120
60;46;0;29.44;26;50;120;120
61;46;0;29.46;26;50;120;120
62;47;0;24.61;54.24;155;80;70
63;47;0;24.64;54.24;155;80;70
64;47;0;26.81;140;350;140;140
65;49;0;29.5;8;20;100;90
66;49;0;29.49;8;20;100;90
67;49;0;19.45;40;76;120;120
68;49;0;19.46;40;76;120;120
69;50;0;29.48;8;20;100;90
70;50;0;29.47;8;20;100;90
71;50;0;19.44;40;76;120;120
72;50;0;19.43;40;76;120;120
73;55;0;18.48;40;100;420;420
74;56;0;18.49;40;100;420;420
75;56;0;18.47;40;100;420;420
76;61;0;17.91;104;197;310;310
77;61;0;17.92;104;197;310;310
78;61;0;17.93;104;197;310;310
79;63;0;30.34;5.4;12;70;60
80;63;0;30.35;5.4;12;70;60
81;63;0;30.36;5.4;12;70;60
82;63;0;30.37;5.4;12;70;60
83;63;0;30.36;5.4;12;70;60
84;63;0;24.72;54.24;155;80;70
85;64;0;24.73;54.24;155;80;70
86;66;0;7.43;100;400;280;280
87;69;0;7.44;100;400;280;280
88;70;0;29.56;26;50;120;120
89;70;0;29.57;26;50;120;120
90;70;0;29.55;26;50;120;120
91;70;0;29.58;26;50;120;120
92;70;0;29.54;26;50;120;120
93;70;0;29.56;26;50;120;120
94;71;0;24.48;54.24;155;80;70
95;71;0;24.74;54.24;155;80;70
96;71;0;24.75;140;350;140;140
